language,iso,glottocode,longitude,latitude,alternate_names,area,affiliation,affiliation-HH,country,dialects,language_development,language_status,language_use,location,other_comments,population,population_numeric,timespan,typology,writing
Paranan-Pahanan,agp,para1320,122.37028,17.04111,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Ayerrerenge,axe,ayer1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Bontok,bnc,bont1247,121.02662,17.09386,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Chimakuan,cmk,chim1311,236.921,47.632,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Ndra'ngith,dgt,ndra1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Daungwurrung,dgw,daun1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Dhungaloo,dhx,dhun1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Djiwarli-Thiin,djl,djiw1240,116.98858,-24.10724,NA,Australia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Madhi Madhi,dmd,madh1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Emiliano-Romagnolo,eml,emil1243,NA,NA,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Garrwan,gbc,garr1260,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Eastern Gurung,ggn,east2345,84.58145,28.4368,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Gunditjmara,gjm,gund1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Kalali,gll,kala1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Awngthim,gwm,awng1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Nhirrpi,hrp,nhir1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jandai,jan,jand1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Badjiri,jbi,badj1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yawijibaya,jbw,yawi1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jeng,jeg,jeng1241,107.14659,15.03918,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Northern Gyalrong,jya,jiar1240,102.22875,31.60295,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Katang,kgd,kata1264,106.4588,16.18229,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Karon Dori,kgw,karo1303,132.66326,-0.7871,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Kalenjin,kln,kale1246,35.92363,-0.02158,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Krim,krm,krim1238,-11.83935,7.24116,NA,Africa,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Ladji Ladji,llj,ladj1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Lonzo,lnz,lonz1238,16.72588,-4.61444,NA,Africa,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mea,meg,meaa1237,165.77137,-21.49395,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tanti,NA,NA,47.3167,42.1642,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
Mehweb,NA,NA,47.0472,42.2528,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
Amuzgi-Shiri,NA,NA,47.589895,42.060627,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
Gapshima,NA,NA,47.3261,42.2122,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
North-Dargwa,NA,NA,47.340107,42.275664,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
Verhnevurkunskij,NA,NA,47.51297,41.96638,"Dargi, Dargin, Dargintsy, Khiurkilinskii, Uslar",Eurasia,"North Caucasian, East Caucasian, Dargi","Nakh-Daghestanian, Daghestanian, Dargi",NA,NA,NA,NA),NA,NA,"Muslim (Sunni), Muslim (Shi'a).",NA,NA,NA,NA,Cyrillic script.
Eastern Pahari,nep,east1436,87.6200833333,27.5947033333,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Durango Nahuatl,nln,dura1246,NA,NA,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Norwegian Bokmal,nob,norw1259,8.886,61.112,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Nyaw,nyw,nyaw1245,104.15092,17.12133,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pinjarup,pnj,pinj1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pelende,ppp,pele1244,17.3142,-4.90877,NA,Africa,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Nari Nari,rnr,nari1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Repanbitip,rpn,repa1237,167.61883,-16.32646,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sanglechi-Ishkashimi,sgl,sang1343,71.67426,36.635405,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Skagit,ska,skag1239,238.00901,48.53138,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sok,skk,sokk1239,106.8398,15.1665,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Snohomish,sno,snoh1241,237.86223,47.93414,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Surigao,sul,suri1274,NA,NA,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sumuic,sum,sumu1234,NA,NA,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tobo,tbv,tobo1251,147.37562,-6.36263,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tidung,tid,tidu1239,117.55143,3.937955,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tai M̬ne,tmp,taim1250,104.72923,18.33998,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tinoc Kallahan,tne,tino1235,120.99378,16.78986,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Western Worrorran,unp,west2435,124.66753,-16.10935,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wadikali,wdk,wadi1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wardandi,wxw,ward1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Birrpayi,xbj,birr1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Bibbulman,xbp,bibb1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Goreng,xgg,gore1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Xiandao,xia,xian1249,97.90515,24.5458,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Minjungbal,xjb,minj1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jaitmatang,xjt,jait1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Narrangansett,xnt,narr1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pequot-Mohegan,xpq,pequ1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Punthamara,xpt,punt1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Kraho,xra,krah1246,312.42262,-8.01172,NA,South America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Gundungurra,xrd,gund1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Krikati-Timbira,xri,krik1239,313.24962,-5.94252,NA,South America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yitha Yitha,xth,yith1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Umiida,xud,umii1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Ngunawal,xul,ngun1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Unggaranggu,xun,ungg1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wajuk,xwj,waju1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wotjobaluk,xwt,wotj1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wemba Wemba,xww,wemb1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Yapi,xyj,mayi1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Kulan,xyk,mayi1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Thakurti,xyt,mayi1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Malyangapa,yga,maly1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yagara,yxg,yaga1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yabula Yabula,yxy,yabu1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jir'jorond,yyr,jirj1239,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Samoyed Koibal,zkb,samo1299,NA,NA,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
