wals.code,glottocode
egn,enge1239
bnn,bann1247
ard,aran1237
ktk,afad1236
klw,kili1268
irx,iran1263
mnm,mana1295
non,noon1243
pil,pile1238
cav,cavi1250
koa,koas1236
ktu,nucl1297
tpr,tupu1244
sil,dars1235
nbk,natu1246
mra,mara1385
nmd,samo1303
cur,curr1243
arx,area1240
shs,shas1239
hix,hixk1239
tid,tido1248
lbu,lund1266
tkl,take1257
sgb,mani1235
avt,avat1244
knp,ngka1235
knb,badi1247
win,wint1259
swt,swat1243
mor,morm1235
wir,wira1265
teh,tehu1242
nya,nyaw1247
rag,hano1246
lug,lugb1240
tai,taha1241
tug,taha1241
sim,sime1241
baq,baur1253
sul,sulk1246
coa,coah1252
gok,goka1239
bhu,mund1320
mun,mund1320
slv,sout2959
ord,peri1253
ndo,ndon1254
pmn,nort2966
far,faro1244
ang,ango1254
atk,atak1252
kla,klao1243
idu,idum1241
mis,misk1235
tsi,nucl1649
sum,maya1285
mon,monn1252
cde,maqu1238
kui,kuii1252
kiu,kuii1253
moj,moha1256
grn,fare1241
ngg,nang1259
ngk,nang1259
rgn,nort2994
ijo,izon1238
tye,tyar1236
ngt,tang1336
khk,khak1248
tza,tzel1254
tzb,tzel1255
tzt,tzel1254
tze,tzel1253
saa,saaa1240
thd,thad1238
krb,gilb1244
dmi,dumi1241
gum,kumb1268
ctm,chit1248
cec,chic1271
krg,shon1251
ksa,east1472
oji,east2542
cpw,chip1241
urk,urub1250
isn,isna1241
max,maxa1247
oca,ocai1244
ilo,ilok1237
brk,beri1254
bbu,bara1361
wan,ngur1261
nyn,nyig1240
prh,pira1253
thu,thul1246
kmp,kuni1267
wiy,wiyo1248
lla,lamu1254
paa,paaa1242
amk,amar1274
sea,sout2859
cyg,cayu1261
lov,lave1248
yrm,yuru1243
snm,sanu1240
yuc,yuch1247
mwo,motl1237
cof,cofa1242
tpn,nort2959
dsh,dani1285
dab,nucl1683
otm,mezq1235
osm,quer1236
oix,ixte1237
ben,beng1280
bec,chit1275
shp,nort1527
smt,umat1237
chy,chay1248
kku,kork1243
hak,hakk1236
hyo,asho1236
ho,hooo1248
tbs,taba1259
tlo,tobe1252
ych,cent2127
yun,cent2127
ypk,cent2127
mij,miju1243
arw,nucl1235
arm,nucl1235
arz,nucl1235
kpw,east2341
oka,okan1243
gla,qaua1234
agc,cent2084
aso,sout2694
niu,niue1239
mig,miga1249
ggu,gure1255
mnx,manx1243
mlu,male1289
gay,gayo1244
ctc,cuic1234
krt,kara1474
gut,gour1243
grm,gour1243
nab,naba1256
hia,cari1279
skm,suku1261
yim,yima1243
fox,mesk1242
fin,finn1318
ndg,ndog1248
chw,west2650
jun,juan1238
knn,kinn1249
bgv,bagv1239
ung,ngar1284
pnr,enap1235
sup,supy1237
snh,sinh1246
mym,mala1464
nau,naur1243
moc,shek1244
til,till1254
tsn,tson1249
sme,siam1242
ykt,yaku1245
lnd,band1344
sao,saho1246
mmb,mbul1263
bku,mokp1239
puk,para1301
yuw,gami1243
gml,gami1243
crn,corn1251
nup,nupe1254
klh,kala1372
tru,trum1247
brw,west2397
bru,east2332
skn,guah1255
ghb,guah1255
woi,kama1365
dhr,dhar1247
rem,bond1245
lat,latv1249
kug,mand1415
mnd,mand1415
dok,ngom1268
nbe,ngom1268
mbe,mber1257
cyv,cayu1262
ane,anem1249
mnr,mand1442
nsy,assy1241
mav,mari1435
wyn,waya1269
der,dera1245
moh,moha1258
pnn,pang1290
bbw,gunw1252
zso,zulu1248
zno,zulu1248
zul,zulu1248
iri,iris1253
sio,sioo1240
chi,chim1301
kpo,ikpo1238
mou,moru1253
bub,bube1242
aar,aari1239
tsf,colo1256
kri,kari1255
myr,mats1244
msn,mais1250
cve,chua1250
pis,asue1235
sah,sahu1245
dob,dobe1238
usa,usan1239
zen,zena1248
bti,beto1236
ved,vedd1240
kgr,kagu1239
run,rung1258
kfe,koro1298
yli,angg1239
tao,tara1313
kya,kuku1273
cqt,chiq1248
lmg,lama1288
bhn,bahi1254
cog,cogu1240
tne,timn1235
kmt,kemt1242
mpu,mpur1239
hmb,huam1247
ysl,cent2128
jrn,juru1256
mhm,besi1244
qch,kich1262
dou,dout1240
olu,olut1240
cem,cemu1238
tld,tala1285
hlp,hava1248
tks,teke1280
vaf,vafs1240
tag,taga1270
qaw,qawa1238
dms,dima1251
blq,nucl1695
yah,yama1264
blk,bala1315
aly,alya1239
mny,marg1253
lon,loni1238
awn,awng1244
gil,gila1241
cla,clal1241
eml,emba1238
jeb,jebe1250
neh,neha1247
ntu,nene1249
nen,nene1249
crg,east2555
gua,para1311
bem,bemb1257
bna,jama1261
amx,anam1248
hil,hili1240
som,soma1255
lah,lahu1253
ass,assa1263
tbl,tabl1243
mba,mbaa1245
ogb,ogbi1239
for,fore1270
but,mong1330
awt,awtu1239
alw,alaw1244
nif,niua1240
ant,anga1290
mbt,mang1394
ura,urav1235
mss,sout2985
tbu,tebu1238
tgl,tsha1245
efi,efik1245
sba,sali1298
tsp,tami1289
tml,tami1289
luo,luok1236
awp,awac1239
tic,ticu1245
pec,pech1241
apc,mesc1238
apj,jica1244
nyr,nyan1301
sha,shan1277
muy,muyu1244
tmc,timu1245
twe,lowl1265
tce,cent2131
ppc,piap1246
dig,diga1241
lua,niel1243
chp,chip1261
bni,bini1246
jeh,jehh1245
wai,waiw1244
bhi,bhil1251
udm,udmu1245
nrm,naro1251
cmy,taba1266
chx,lowl1260
cho,high1242
ewo,ewon1239
tif,tifa1245
khl,turk1303
mbl,mbol1247
lim,limb1266
kij,kitj1240
iva,ivat1242
hnn,hanu1241
mya,maya1282
mks,maka1311
mmu,nege1240
min,mina1268
poc,poqo1253
pcm,poqo1253
sru,sela1259
bao,bona1250
guu,gugu1255
blu,luba1249
cil,luba1249
cua,cuaa1241
gah,alek1238
wry,wara1290
mzn,maza1291
cmx,como1259
mpo,myen1241
hpd,hupd1244
ysi,sire1246
goe,goem1240
sry,sira1267
wrb,warr1257
rwa,rawa1267
ngr,narr1259
tat,tata1257
wor,woro1255
lan,lang1324
pno,nort2954
bre,bret1244
mbz,mbee1250
amu,yane1238
fua,adam1253
fma,pula1263
fbf,west2454
fgo,adam1253
fgu,pula1262
fum,maas1239
fus,pula1263
fni,nige1253
ain,ainu1240
zay,zays1235
nnm,tuva1244
tvl,tuva1244
wsk,wask1241
mel,cent2101
doy,doya1240
ayw,ayiw1239
ga,gaaa1244
gun,nugu1242
koy,koya1251
kim,kima1246
irm,iris1253
ird,iris1253
had,hadz1240
dbd,tait1250
tng,tong1325
sik,sika1262
mru,maru1249
nep,nepa1252
pba,pima1248
snn,soni1259
jam,djam1255
kod,koda1255
arr,east2379
awe,west2441
amp,east2379
wuc,wuch1236
gwa,gbag1258
tan,nucl1696
tur,nucl1301
bun,tere1278
yar,yare1248
mrn,mara1404
goa,wayu1243
mcd,mace1250
chr,chra1242
ach,ache1246
obo,obol1243
yur,yuro1248
bya,byan1241
ma,made1252
lrd,lard1243
kab,kaba1278
twn,nort1550
tak,taki1248
awa,awap1236
kad,katc1249
nat,natc1249
ory,orya1242
iba,iban1264
cld,chal1275
ykp,yukp1241
tnl,lowe1425
chm,cham1309
uru,uruu1244
msh,mars1254
boa,kuni1265
apu,apur1254
kma,kama1373
ksh,kash1280
tiv,tivv1240
snt,nucl1632
lag,lagw1237
bnj,band1339
gid,band1339
byu,band1339
bca,band1339
bwa,band1339
nng,nyan1304
dhm,dhim1246
bys,bais1246
lha,laha1250
blc,east2304
ser,seri1257
igb,nucl1417
see,taro1264
biq,sara1326
lac,laca1243
brf,tari1263
khv,khva1239
poh,pohn1238
len,lena1238
kmo,moun1252
boq,damu1236
boj,damu1236
gal,damu1236
mil,damu1236
bum,tean1237
ayi,anyi1245
atc,urip1239
pga,pila1245
nit,diti1235
kmr,kamo1255
sug,assa1269
mgo,mong1338
tsg,taus1251
kwo,kwom1262
lui,luis1253
tgk,tiga1245
nun,nung1283
ano,nung1282
tmg,tama1336
shm,sham1280
mgu,musg1254
mkl,makl1246
tbe,tigr1270
tgr,tigr1270
wel,wels1247
err,siee1239
srr,serr1255
sae,saek1240
die,kumi1248
tja,kumi1248
kni,konn1242
mcc,moch1259
nua,nuau1240
bsk,bash1264
chc,chec1245
jpr,japr1238
amo,amoo1242
aze,sout2697
azi,sout2697
wat,waja1257
kok,kokb1239
grb,barc1235
kwa,kwai1243
eud,opat1246
kti,yong1280
nan,nand1266
pai,paiw1248
ess,esse1238
sro,siro1249
can,cand1248
hal,hali1244
mkr,arua1260
wao,waor1240
sbg,bala1311
say,sayu1241
brs,bara1380
bfd,biaf1240
kio,kiow1266
trn,tere1279
tst,tsat1238
muu,mund1330
sng,sina1266
ram,rama1270
pta,dumb1241
wog,woga1249
djn,djin1253
xok,xokl1240
mea,meya1236
tof,kara1462
loz,lozi1239
cnt,yuec1235
cwe,colu1241
hno,nort2938
hai,haid1248
nhh,huas1257
nhm,mich1245
nhn,nort2957
nht,tete1251
nmp,None
nmi,isth1242
nhu,None
npa,isth1241
nsz,high1278
nhx,guer1241
nhp,poch1244
nhc,cent2132
emb,nort2972
chl,uppe1439
yal,kosa1249
mro,moro1285
kik,kiku1240
mme,east2328
mah,west2392
ing,ingu1240
man,mann1248
gus,gusi1247
pen,peng1244
toj,tojo1241
msy,west2418
mag,east2352
jug,tase1235
lun,tase1235
pia,piar1243
geo,nucl1302
agr,agua1253
cch,choc1279
nev,toho1245
ood,toho1245
kat,kate1253
tnn,tune1261
iir,papu1250
inj,indo1316
ind,indo1316
gji,guri1247
yns,yans1239
san,sang1328
mao,maor1246
nkn,nkon1245
mtu,motu1246
ika,arhu1242
cul,culi1244
bki,baka1277
obg,ogbr1243
tmk,tuma1260
cin,ines1240
cba,barb1263
tlf,tele1256
jlu,luwo1239
pnu,youn1235
amz,guer1243
dam,mala1522
fur,furr1244
bir,bero1242
kdg,kari1317
gmb,guam1248
jwr,jama1261
jmm,jama1261
lit,lith1251
yei,yeii1239
wrl,warl1254
ice,icel1247
haw,hawa1245
mac,macu1259
tnk,tung1290
taz,taly1247
tls,taly1247
nha,nhan1238
nze,zeme1240
crj,cari1279
umu,cari1279
kyo,kany1247
yng,ying1247
agm,anga1287
mdu,mund1326
det,shua1254
mko,muku1242
tts,take1255
sra,sran1240
yay,bouy1240
cma,chim1309
ale,aleu1260
aea,aleu1260
mot,siwa1245
mrk,muri1260
clc,cola1237
bar,bari1284
kuk,bari1284
bgr,furu1242
ets,yekh1238
awy,awyi1241
vep,veps1250
daa,daak1235
kli,ledo1238
rut,rutu1240
yqy,yaqa1246
one,molm1235
mad,madi1260
wol,wole1240
lmn,lamb1269
eng,stan1293
hol,holo1240
cyn,chey1247
kyg,keny1279
amh,amha1245
htc,huas1242
isa,kris1246
mhc,mohe1244
ebi,ebir1243
wam,wamb1258
bet,dalo1238
new,newa1246
nwd,newa1246
rng,reng1252
tla,kuan1248
qay,ayac1239
mcs,cent2140
bon,bong1291
tmn,nucl1339
wll,wall1257
lin,ling1263
cha,cham1312
fut,futu1245
tbt,toba1266
nvs,gily1242
niv,gily1242
coc,coca1259
teo,teop1238
nne,neng1238
ill,miam1252
wik,yoku1256
ywl,yoku1256
hnk,hinu1240
toa,toar1246
oi,oyyy1238
afr,afri1274
fre,stan1290
moo,moss1236
xas,xaas1235
ava,avar1256
mxa,atat1238
mxc,sanm1295
mxj,pino1237
mxo,ocot1243
mxp,peno1244
mxy,yoso1239
mxt,ayut1236
mxz,coat1241
mja,jami1235
mxm,sanm1295
mxu,chay1249
mjc,sanj1281
mxl,alac1244
tuk,tuka1248
guj,guja1252
pwn,pawn1254
por,port1283
anj,anei1239
kor,kore1280
lus,lush1252
gav,gavi1246
cub,cube1242
oko,adiv1239
oya,nucl1284
apl,apal1257
dhb,baya1257
mkb,coas1301
hei,heil1246
sue,suen1241
krr,kair1263
bnm,binu1245
cga,moch1256
poa,fwai1237
tol,toll1241
ukr,ukra1253
hwr,gura1251
prt,pira1254
gir,gula1265
kha,halh1238
bul,bulg1262
iwm,iwam1256
hat,hata1243
ymi,yami1254
zim,zima1244
xho,xhos1239
yak,yaka1269
lil,lill1248
luc,luch1239
wrd,ward1246
cop,copt1239
big,yulu1243
yul,yulu1243
brj,burj1242
sva,svan1243
kly,kala1377
iaa,iaai1238
sri,siri1274
pok,rawo1244
ndi,sout2784
ygd,diii1241
gnn,kwin1241
kln,wers1238
hlu,halk1245
cay,chac1249
nal,nali1244
aiz,apro1235
apk,apuc1241
tmp,tamp1252
lar,lara1258
pat,pate1247
wth,wath1238
hmi,mini1256
deg,dege1246
igs,gaam1241
ao,aona1235
cam,cams1241
kyn,koyu1237
pau,paum1247
mgd,mong1342
hsl,hais1244
tnt,tont1239
zqc,copa1236
zqo,copa1236
zfl,fran1266
zqr,rayo1235
zch,chim1300
ama,amar1272
pip,pipi1250
srl,lowe1385
koi,gras1249
sub,subi1246
mde,mend1266
kyl,east2342
wal,valm1241
yaw,nucl1454
mhi,mara1378
god,ghod1238
slb,sali1295
nku,kenu1236
nbd,kenu1236
gud,gude1246
cab,cabe1245
kap,kela1255
mar,mari1440
svk,slov1269
shu,shus1248
mrr,mari1419
oku,okuu1243
ahs,hass1238
awi,aeky1238
atq,paci1278
emc,embe1262
mam,mamm1241
tsh,pana1305
swr,shos1248
sho,shos1248
que,quec1382
mov,movi1243
mgg,tuuu1240
ahu,aghu1255
tsz,dido1241
bbf,sout2840
arb,arab1268
svc,kash1274
ksu,kash1274
tlp,acat1239
tul,tulu1258
thy,thay1249
shk,ship1254
tam,east2347
sam,samo1305
moe,erzy1239
luy,saam1283
ndu,ndum1239
djp,dhuw1249
gmt,guma1253
dda,dhuw1249
gmz,gumu1244
mbi,bamb1266
hre,hree1244
ngn,ngan1295
bpb,bahn1262
mdn,mand1446
ign,igna1246
sob,sobe1238
ari,arib1241
rim,nyat1246
jbt,djeo1235
wet,luan1263
slo,slov1268
ghr,gahr1239
ats,atsu1245
agw,alag1248
unm,unam1242
mwl,lake1258
tsw,tswa1253
ntj,ngaa1240
wdo,pitj1243
sor,sora1254
mup,mwag1236
gnd,gaan1243
ntn,nate1242
epe,epen1239
dmk,doma1260
lul,lule1238
ckl,chin1286
buw,bulu1251
ppi,pitt1247
msm,muso1238
ykm,yako1252
sti,stie1250
pol,poli1260
nin,ning1273
kom,komo1258
ady,adyg1241
adt,adyg1241
ash,adyg1241
bil,bilu1245
tin,tiri1258
bat,bata1301
jrw,jara1245
sis,baba1268
wag,wage1238
klz,kala1384
cuu,chuu1238
uby,ubyk1235
sno,nort2671
baj,indo1317
kkn,konk1267
nnt,nant1249
ngz,ngiz1242
evn,even1260
abk,abkh1244
bdk,budu1248
tda,toda1252
kji,nort2641
kbl,kaby1243
hmr,hame1242
so,sooo1256
ymd,yamd1240
mtk,matu1261
shb,shab1252
wur,waur1244
sec,seco1241
wps,wapi1253
bit,biat1246
chg,chan1313
trw,torw1241
hun,hung1274
mse,muns1251
kus,kusu1250
rao,raoo1244
sdh,sind1272
tar,tari1256
bbm,bamb1270
lns,lamn1239
brh,brah1256
krm,kara1464
kaq,kaur1267
dca,casi1235
ras,tega1236
ori,tega1236
lga,onto1237
tkm,turk1304
mdb,mudb1240
wrw,warr1258
trt,tern1247
dha,daas1238
miz,lush1249
kyk,kyak1244
ena,enga1252
abm,alab1237
cct,choc1276
cmh,utes1238
kot,kota1263
bdg,bada1257
brn,buru1320
klv,kili1267
irr,irar1238
mmv,mamv1243
mrq,nort2845
tgh,taha1241
aht,ahte1237
kkb,konk1269
dio,jola1263
mwn,nort2968
ruk,ruka1240
ark,arak1252
ktl,katl1237
tup,None
yap,yape1248
ono,onoo1246
sta,dong1285
cso,west2644
cya,west2644
ctt,tata1258
cht,nopa1235
map,mapu1245
mab,maba1277
grj,huar1255
cup,cupe1243
boi,boik1241
yrr,pume1238
nah,niha1238
kmu,khmu1256
lot,loth1237
prs,west2369
maz,maza1293
dyu,dyul1238
pad,pado1242
iau,iauu1242
kby,kabi1261
mau,maun1240
ik,ikkk1242
rus,russ1263
wnb,hoch1243
swa,swah1253
mop,mopa1243
tht,tehi1237
tah,tahi1242
nor,norw1259
ksr,kisa1266
bsm,bisl1239
hin,hind1269
bkr,bata1293
thk,thak1245
tnd,tind1238
snc,sene1264
bch,tach1249
ngu,nort2836
maw,west2500
mnk,east2426
wrn,wand1263
cro,crow1244
ble,baou1238
aga,agar1252
gds,gads1258
rsh,shug1248
baf,bafu1246
kiq,kalm1243
kmk,kalm1243
mnc,manc1252
beg,idaa1241
hya,haya1250
sko,nucl1634
kwb,nucl1595
mal,plat1254
res,resi1247
khi,khin1240
ldn,ladi1250
laz,lazz1240
bae,bare1276
plr,palo1243
ttn,tetu1245
acl,acol1236
lho,lhom1239
skk,sikk1242
nnd,nend1239
asu,toca1235
akw,akaw1239
klm,klam1254
mir,miri1266
tns,sout2869
wer,weri1253
kam,kamb1299
mom,nucl1452
prc,pare1272
all,lala1268
yaz,yazg1240
ccm,coma1246
cle,leal1235
cpl,pala1351
chq,quio1240
csc,soch1239
cte,tepe1279
csf,usil1237
ndt,ndut1239
bus,busa1253
mpa,murr1258
awk,pong1250
kae,kaki1249
kgi,wame1240
wra,wara1303
apw,west2615
bas,basa1284
jak,popt1235
aym,cent2142
bvi,unea1237
hup,hupa1239
twa,twan1247
wap,wapp1239
taf,sapo1253
sin,sion1247
ong,onge1236
gmw,guma1254
nmb,sout2994
eny,enya1247
cjo,chic1272
krq,kere1280
miy,miya1266
ish,sang1236
mas,masa1322
tuv,tuvi1240
knw,nort2951
tho,thom1243
svs,savo1255
omi,omie1241
fye,fyam1238
try,tiru1241
bsh,bush1247
baa,bara1377
kmb,ndei1235
bez,bezh1248
phl,pwon1235
sur,surs1246
orl,orok1267
jia,jiar1239
rsu,roma1326
rsm,roma1326
rsc,roma1326
rmc,roma1326
juh,juho1239
xun,kung1261
ngd,ngad1261
tpt,tapi1253
sge,song1303
lkk,lakk1238
kjn,kunj1245
fas,fasu1242
bor,bora1263
cmr,mara1382
naj,lish1245
naa,chal1275
nap,lish1246
amn,aman1265
dma,duma1253
mem,mane1266
blz,bala1300
brm,nucl1310
tec,tekt1235
lou,louu1245
bse,cent2194
bma,cent2194
yct,yuca1254
mti,bari1297
coe,coeu1236
tep,tlac1235
kkp,kara1467
dni,lowe1415
gyb,guay1257
oss,osse1243
bga,beng1282
bia,bila1255
tmr,temi1246
frd,ford1242
kei,keii1239
kyp,kaya1330
khu,khum1248
tbr,taba1263
bto,bata1289
mdr,nucl1460
tga,tang1348
ktc,katc1249
ywr,yawu1244
frw,west2354
fno,nort2626
fea,east2288
fri,east2288
bmr,buru1306
cap,capa1241
yag,yagu1244
tmm,malo1243
gdk,pott1240
squ,squa1248
kbw,bwek1238
kay,kaya1319
cic,nyan1308
wmu,wikm1247
taj,taji1245
ksm,kase1253
xoo,xooo1239
her,here1253
mke,meke1243
suk,suki1245
zqs,high1276
yil,yill1241
chk,chuk1273
fiw,west2519
fij,fiji1243
dyi,dyir1250
bii,biri1256
cme,east2563
jom,talo1250
bal,bali1278
knk,dera1248
bam,bamb1269
mds,mala1481
ktp,mala1479
myk,mala1479
kuy,teng1267
mly,stan1306
nnn,nort2784
sod,kist1241
ixi,ixil1251
mdz,mada1282
hav,hava1248
tik,tika1246
sun,sund1252
lml,nucl1327
yel,yele1255
kwn,kwan1273
nge,ngem1255
mbu,mana1298
thw,thao1240
kwr,kwam1252
rmb,remb1249
mri,moro1289
bdc,berb1259
aji,ajie1238
pag,pagu1249
khw,khow1242
mnt,ment1249
nde,nand1264
mos,mose1249
kpe,libe1247
ore,orej1242
iso,isok1239
muo,muon1246
src,sars1236
ndy,ndyu1242
kaz,kaza1248
tow,sout2797
tou,tusi1238
hay,wayu1241
ron,ronn1241
rnd,rund1242
mlt,malt1254
dua,dual1243
cad,cadd1256
xam,xamm1241
izi,izie1238
sir,siar1238
noo,noon1242
blr,bela1254
bnw,bani1255
wak,wakh1245
beo,beot1247
gur,guru1261
als,alse1251
yrc,yura1255
nkk,naka1260
osa,osag1243
amr,moro1292
atu,tuni1259
ael,liby1240
abb,chad1249
arn,chad1249
pak,paka1251
scs,sout2674
gdr,gida1247
chv,chuv1255
mby,mbay1241
gbk,nort2775
gbb,gbay1287
mdo,gbay1281
neg,negi1245
duk,huns1239
tgw,west2538
bco,bell1243
ban,bana1305
bka,baka1274
bak,baka1272
sol,even1259
tub,tuba1279
kwz,kwaz1243
kek,kekc1242
zhn,guib1245
tnc,tana1290
dag,daga1275
adi,adio1239
fon,fonn1241
bua,bura1267
aul,aulu1238
rot,rotu1241
tmu,musl1236
bsr,bass1258
mwp,plai1259
tbb,tuba1278
yba,yamb1251
mno,mono1275
moa,mono1273
plh,paul1238
slr,sala1264
yid,yidi1250
knu,rapo1238
shi,nina1238
ctl,stan1289
gna,guan1268
siu,sius1254
aml,east2443
mut,sout2986
lis,lisu1250
mcg,maca1259
mdl,madn1237
coi,chor1273
cku,wasc1239
bin,bina1277
har,haru1245
udh,udih1248
car,gali1262
ren,rend1243
cln,chol1284
ewa,ewee1241
ewe,ewee1241
acn,acha1249
bgl,bugl1243
ayo,None
yms,yems1235
kss,sout2778
kis,kiss1245
itz,itza1241
han,hani1248
zha,jang1254
mak,maka1318
hok,minn1241
chz,minn1241
tuy,tuyu1244
gaa,gaga1251
mmw,mamb1296
ald,alla1248
tki,tuki1240
kut,kute1249
tor,rata1244
bnr,ngar1235
ngy,ngar1235
toy,None
tsm,None
meh,mehr1241
hrs,hars1241
bth,bath1244
jib,sheh1240
soq,soqo1240
lgi,lang1320
may,maib1239
kmj,kara1483
biu,bisu1246
zap,mitl1236
zsq,sanj1284
zai,isth1244
zya,yatz1235
zaq,sant1451
zzo,zoog1238
zaj,sier1250
zam,mixt1426
zpi,sout3005
zte,texm1235
muh,seba1251
pra,pras1239
tet,tete1250
day,dayy1236
bmb,bimo1239
pal,pala1344
urn,urar1246
rum,rumu1243
ksp,kimm1246
irq,iraq1241
trr,nort2920
toz,tong1318
mrt,mart1255
nob,nobi1240
qui,quil1240
izh,ingr1248
diz,dizi1235
kob,kobo1249
kaj,kaur1271
tmo,tibe1272
tod,stod1241
tis,tibe1272
tib,tibe1272
oir,kalm1243
tna,turk1308
yaq,yaqu1251
stl,sant1410
giz,maro1246
nar,nara1262
nza,nzak1247
crt,chor1274
kpn,kapi1249
hma,hmar1241
mrd,nucl1622
yor,yoru1245
sar,kapr1245
guq,cari1279
bee,beem1239
avo,avok1242
kdw,kadi1248
urh,urho1239
ork,orok1265
nia,nias1242
swv,swed1254
swe,swed1254
tnj,tana1289
orc,oroc1248
bla,siks1238
nel,kuma1276
kem,qima1242
kms,kama1351
