wals.code,glottocode
tuc,tuca1252
sgl,seng1278
tas,tach1250
eip,eipo1242
cpn,chep1245
dhw,thur1254
bzi,bauz1241
vag,vagl1239
ocu,atzi1235
bag,bagi1246
idn,idun1242
psm,male1292
heh,hehe1240
plk,pali1279
api,apin1244
ria,rian1263
klk,kuoo1238
kxo,kxoe1243
pso,sout2982
lel,lele1276
lgt,logo1259
dri,dari1249
bkd,binu1244
acm,achu1247
abz,abaz1241
cbo,chac1251
any,anua1242
ata,atay1247
akl,akla1241
rtk,roto1249
kje,kore1283
kak,kama1370
tgo,tsog1243
mwb,west2555
mga,ndun1249
tsr,taus1253
lda,gand1255
pow,powh1243
kaw,kaiw1246
mnv,mina1269
nkr,nuku1260
pre,asut1235
che,cher1273
msk,ngil1242
isi,isir1237
pdp,folo1238
kou,komc1235
wrs,wari1266
nak,naka1262
coo,coos1249
kal,kala1373
jpn,nucl1643
lep,lepc1244
drg,darg1241
ayr,ayor1240
ror,waim1251
tir,trio1238
tzs,tzot1260
tzz,tzot1264
tzo,tzot1259
grt,goro1259
tha,thai1261
onn,onon1246
goo,goon1238
esm,atac1235
cnm,kana1291
kkw,kara1289
dbw,dann1241
dan,dann1241
aco,west2632
hln,hala1252
mki,mika1239
mtt,wamp1249
jad,tibe1272
wtm,wata1253
pir,yine1238
swi,sawa1247
nue,nuer1246
pna,pamo1252
bno,waim1255
wnt,want1252
bho,bhoj1244
akk,akak1252
mic,mikm1235
atm,kunz1244
ngl,ngal1293
wob,weno1238
lmh,lama1277
brr,boro1282
krc,kara1465
mid,mido1240
els,else1239
amq,amba1265
mud,mund1327
nga,ngan1291
ycn,yucu1253
ter,tera1251
nbr,ngab1239
lob,lobi1245
way,waya1270
ora,emai1241
olm,ngaj1237
kry,kory1246
klb,huba1236
dgi,indo1311
cre,plai1258
mgh,maga1260
tgp,sawi1256
kel,kele1258
agu,agua1252
bur,buru1296
oks,oksa1245
tum,tuml1238
ina,suab1238
yny,yany1243
sgr,sang1336
gku,puel1244
nma,maon1238
rga,rong1268
lye,lyel1241
pme,east2545
cut,cuit1236
tap,taia1239
bob,bang1354
nad,nade1244
hid,hida1246
tzu,tzut1248
yin,yind1247
cly,chul1246
pem,pemo1248
yan,yana1271
juk,juku1254
kbu,kane1243
anx,andi1255
acu,achu1248
uku,uppe1438
wic,wich1260
nav,nava1243
knm,kuna1268
nkt,nyah1250
sed,seda1262
shl,shil1265
krl,kare1335
tse,uabm1237
jcr,jama1262
tau,tauy1241
nyl,nyal1254
shh,shar1245
kbo,apma1241
cri,crim1257
myi,mang1381
fio,koon1244
kon,koon1244
gap,gapa1238
gnb,kunb1251
obk,obok1239
wgl,waig1243
dul,drun1238
ibi,ibib1240
sud,sude1239
kau,kaul1240
hum,muru1274
bsi,siwi1239
hhu,hang1263
mua,makh1264
xar,xara1244
lau,lauu1247
mkg,mand1436
mdk,mand1436
buj,kwas1243
crp,cara1272
tes,teso1249
aci,achi1256
bsq,basq1248
bqb,basq1248
bqg,basq1248
bqh,basq1248
bql,basq1248
bqn,basq1248
bqo,basq1248
bqr,basq1248
bqs,basq1248
bso,basq1250
bqz,basq1248
bqi,basq1248
mgn,magu1243
akc,akac1240
gcy,mode1248
grk,mode1248
wed,weda1241
mer,meri1244
des,desa1247
mok,moki1238
png,pang1287
ldo,orok1266
est,esto1258
kre,gbay1288
abi,abip1241
kte,kete1252
akr,arik1262
pan,panj1256
jem,jeme1245
mtl,matt1238
lai,haka1240
ttu,bats1242
mhk,mehe1243
dts,toro1252
dds,donn1238
koo,kola1285
dja,dyaa1242
taw,tawa1275
mrw,muru1266
agt,leni1238
ven,vend1245
kai,kaia1245
gol,gola1255
tni,tina1246
lmb,lamb1271
tiw,tiwi1244
akh,akha1245
cah,cahu1264
ken,keng1240
dga,sout2789
lu,luuu1242
grr,gara1269
kyq,nuuc1236
nuu,noot1239
srm,sara1340
oma,omag1248
bnk,bank1256
wlm,walm1241
ber,bert1248
blt,balt1258
prk,puri1258
gdi,godi1239
dun,duna1248
mmp,mamp1244
qim,imba1240
qhu,huam1248
qec,chim1302
ret,tani1257
agl,aghu1253
bgo,bong1285
kga,nucl1379
alu,alut1245
dgx,dege1248
otr,otor1240
lnw,lonw1238
nkb,ngal1292
dug,gaww1239
jmo,jurm1239
pog,pogo1243
olo,oloo1241
wrk,guar1293
kun,bord1248
stn,pedi1238
bnd,band1352
knr,cent2050
ila,ilaa1246
gar,garo1247
kse,koyr1242
kch,koyr1240
toq,toab1237
mrg,marg1265
mda,mada1293
yir,yiry1247
zun,zuni1245
lez,lezg1247
dgb,dagb1246
qaf,afar1241
auy,awiy1238
usr,usar1243
nax,naxi1245
alb,gheg1238
dim,dime1235
cmc,come1251
url,urak1238
mco,coat1238
mth,tlah1239
mtp,toto1305
dhi,dhiv1236
paw,pawa1255
sal,sali1253
mkn,mank1251
krf,kora1294
nis,nyis1236
mle,male1284
kpm,pamp1243
grs,garu1246
adn,adny1235
kzh,nort2735
don,sout2741
mwe,mwer1248
kho,nama1264
bkt,brok1247
sav,savi1242
sna,shin1264
sht,shat1244
mng,mang1405
crh,chru1239
yta,noga1249
tlb,noga1249
nok,noga1249
nog,noga1249
jah,jeha1242
rwe,wels1246
rka,vlax1238
rav,balk1252
rnr,balt1257
rbu,balk1252
rlo,vlax1238
rbg,sint1235
rse,None
nnk,nank1250
cas,cash1251
lur,nort2645
kgu,kalk1246
uyg,uigh1240
mit,mitu1240
hwc,hawa1247
gro,guro1248
maa,masa1300
nro,naro1249
ktz,kati1270
crk,cree1270
khg,khal1275
mta,buka1257
anc,ngas1240
eya,eyak1241
rru,nyor1246
iwa,iwai1244
hrr,hara1271
yes,yess1239
tab,east2440
mgl,ming1252
pkm,poqo1254
slp,sele1250
ddf,darf1239
trd,tora1261
kil,luba1250
gll,gale1259
cze,czec1258
pot,pota1247
wya,wyan1247
psh,cent1973
mcn,macu1260
kuv,kuvi1243
raw,rawa1265
ngb,ngba1285
ttb,tata1255
tmi,tata1255
tvo,tata1255
lao,laoo1244
ute,utes1238
put,utes1238
lma,loma1260
trg,tewa1260
tsj,tewa1260
tew,tewa1260
vat,lako1244
def,defa1248
mcv,moco1246
sel,onaa1245
pam,cent2145
kjr,koor1239
ssa,west2465
lch,lach1248
ton,tonk1249
skw,shek1243
srd,camp1261
koh,kohu1244
wbn,wamb1259
bgs,baga1272
diy,dier1241
vai,vaii1241
seb,kups1238
mku,mara1386
rov,rovi1238
nez,nezp1238
gog,gogo1265
dad,dadi1250
ful,fuln1247
hoa,hoav1238
khs,khas1269
kfy,kirg1245
kgz,kirg1245
ckh,chek1238
kie,kire1240
ccp,coco1261
nju,nyun1247
awd,awad1243
kef,kafa1242
kow,winy1241
omh,omah1247
mto,kuma1274
tob,toba1269
shr,shor1247
krz,kryt1240
bol,boli1255
nto,ntom1248
jaq,jaqa1244
shn,shon1251
oro,orok1269
abn,arab1267
kas,kash1277
lok,loko1255
mug,barg1252
dhu,dhur1239
edo,edol1239
tll,taul1251
koe,kweg1241
rik,rikb1245
jab,yabe1254
pop,mezo1235
psj,sanj1285
psv,coyo1236
bnb,buna1275
lgu,long1395
ath,athp1241
kwe,west2635
kea,qanj1241
tso,tsou1248
grw,kala1399
gre,kala1399
gso,kala1399
smj,sema1266
ylm,yelm1242
alk,arop1243
pms,paam1238
buy,buli1254
bui,buli1255
gue,guer1240
mkd,mako1251
tig,tigr1271
eja,ejag1239
sre,koho1244
plb,pola1255
yzv,komi1268
kzy,komi1268
noc,noct1238
wrm,ware1253
blx,bilo1248
mof,mofu1248
adz,adze1240
bac,wadj1254
trc,chic1273
tri,copa1237
ski,kild1236
krn,kora1292
chh,seba1251
spc,stan1288
ast,astu1245
spa,stan1288
gag,gaga1249
kar,kara1482
kra,kara1486
shy,east2337
kmn,kuma1280
gln,goli1247
tba,sina1271
zan,zand1248
bud,budu1265
shw,shaw1249
kir,cerm1238
itw,itaw1240
wwy,wara1300
mai,mait1250
dym,djim1235
gae,scot1245
sab,saba1265
bik,biak1248
tua,tuam1242
msc,chib1270
tem,temm1241
hnd,hund1239
wrg,warr1255
kur,kuru1302
hui,huic1243
pur,pure1242
zaz,diml1238
msl,nucl1440
pac,paco1243
mpr,maip1246
boz,tiey1235
nbo,nyam1277
ame,amel1241
cax,asha1243
yrt,yuru1263
djr,jaru1254
mlm,mlab1235
trb,teri1250
drm,darm1243
war,wari1268
ene,enet1250
cac,cacu1241
kos,kosr1238
kta,koit1244
nai,nana1257
iqu,iqui1243
gdb,bodo1267
tgb,tagb1258
tpi,tokp1240
mrh,mari1424
mgi,mail1248
gpz,swis1247
gba,bava1246
gbl,stan1295
gbe,swis1247
gha,stan1295
gma,stan1295
gos,swis1247
grp,kols1241
gth,stan1295
gti,stan1295
gau,bava1246
gwe,west2356
gzu,swis1247
gvi,bava1246
gtg,swis1247
ger,stan1295
mee,meen1242
cvc,chav1241
pui,puin1248
bnl,bang1339
leb,ngel1238
tun,tuni1252
sgu,sang1333
ktn,kete1254
mpy,mapo1246
knq,krio1252
sml,seme1247
abo,arbo1245
nyi,amas1236
nag,yale1246
guh,guhu1244
deu,deor1238
per,pero1241
gno,guan1269
chb,cham1313
bos,bosn1245
scr,sout1528
mul,mula1253
kky,kank1243
grg,gura1252
mla,came1252
mbo,nucl1458
chu,niva1238
cum,chum1261
myn,maan1238
nym,nyam1276
bis,biss1248
kna,kari1311
tim,timu1262
kyr,kark1258
brc,boru1252
snd,ceba1235
liv,livv1244
ptw,patw1250
cak,kaqc1270
nim,nucl1633
krj,kara1476
wlw,warl1256
aba,abau1245
bau,bauu1244
sen,nucl1396
bad,bade1248
chs,siyi1240
mlc,mala1533
rnn,renn1242
lav,lavu1241
mii,tama1331
tma,tama1331
hcr,hait1244
mce,beli1260
bou,taga1278
ace,achi1257
ifm,teke1274
akn,akan1250
kit,kits1249
wah,wahg1249
sto,ston1242
dak,dako1258
wem,west2443
hmo,huam1250
hmd,hmon1333
gel,gela1263
mll,mola1238
pap,papi1253
yyg,yayg1236
kro,kron1241
ceb,cebu1242
aro,aros1241
ctw,cata1286
gon,sout2711
ham,hamt1247
agh,aghe1239
pla,play1240
nnc,cent1990
nca,carn1240
nic,cent1990
kol,kola1242
ptp,patp1243
bry,baru1267
rit,rita1239
axv,akhv1239
vie,viet1252
kng,kain1272
una,unaa1239
mrl,murl1244
ond,onei1249
gul,gula1269
pte,pait1244
nbb,bign1238
yki,yuki1243
ann,anin1240
khm,cent1989
ker,kera1255
ytu,nort2745
yko,sout2750
nyh,nyih1240
hve,sanm1287
pod,park1239
mne,nort2952
thp,thay1248
was,wash1253
uma,umaa1242
kul,gamo1244
gam,gamo1243
wly,wola1242
pkt,poko1263
bnt,bant1286
itn,neap1235
itu,piem1238
ifi,ital1282
itb,emil1241
itg,ligu1248
ita,ital1282
maj,maja1242
akb,akab1249
tno,tond1251
kws,kawa1283
lak,lakk1252
btk,cent2083
amc,amah1246
uzn,nort2690
uzb,uzbe1247
ana,arao1248
ige,iged1239
yyo,yort1237
rti,term1237
tpc,tepe1278
cuc,timo1237
gto,guat1253
ket,kett1243
chd,chau1259
bgg,bang1368
yna,nauk1242
tbw,taab1238
yok,yoku1256
dah,daha1245
knd,nucl1305
mbm,mbum1254
crq,carr1249
gfr,guia1246
sey,sese1246
lcr,guad1242
mqc,guad1242
buu,buru1303
alc,alle1238
urd,urdu1245
nyk,tukp1239
yam,yami1256
mna,muna1247
bjs,sout2918
mns,mans1258
lux,luxe1241
cui,cuib1242
orm,ormu1247
apt,apat1240
ptt,patt1248
sle,samb1305
mca,maca1260
krk,karo1304
bmz,tumz1238
hem,hemb1242
tel,telu1262
sui,suii1243
mjk,mand1419
chj,chuj1249
fef,fefe1239
wrp,waro1242
abw,west2630
aho,arap1274
jng,kach1280
ldu,lend1245
nti,ngit1239
kan,khan1278
kll,kalu1248
ido,idom1241
uli,ulit1238
hba,hebr1245
heb,hebr1245
mlk,mull1237
rad,rade1240
dgo,dong1290
mae,maee1241
nse,nsen1242
leg,lega1249
klg,kulu1253
kmh,gama1251
qia,qian1264
mzh,huau1238
mzc,chiq1250
ixc,ixca1245
hau,haus1257
den,deni1241
wma,west2600
skp,selk1253
ykn,yaka1277
ksg,sgaw1245
prd,duru1236
ape,safe1240
bkn,orok1266
glc,gali1258
cor,elna1235
pkn,darl1243
mdg,mund1325
klq,kala1397
iat,iatm1242
srn,siri1273
thn,than1259
kwk,kwak1269
rej,reja1240
dbr,dutc1256
dli,dutc1256
duz,zeeu1238
dut,dutc1256
wwr,woiw1237
kba,kamb1297
cpa,ashe1273
cnl,cane1242
ckr,cane1242
abd,abid1235
adk,ando1256
aja,ajas1235
vot,voti1245
alx,bata1292
beb,bena1264
mum,nucl1240
wau,woun1238
men,meno1252
dre,dehu1237
mog,mogh1245
kuo,kuot1243
gad,gade1242
nam,nami1256
ese,esee1248
iql,east2534
ins,east2534
kpa,kpan1246
aik,aika1237
cml,caml1239
bro,torr1261
mgk,mung1266
nsn,nise1244
mnu,kimm1245
mie,iumi1238
saw,sabu1255
sou,uppe1395
xav,xava1240
dji,djin1251
nyu,nyul1247
nke,nkem1242
kls,kali1308
kbr,bara1370
tus,tusc1257
dum,vani1248
yav,hava1248
sap,sapu1248
khr,khar1287
rom,roma1327
ngj,ngad1258
yem,yemb1246
gdf,gudu1252
ssh,boro1277
cmk,chim1310
tny,west2466
klt,kela1258
wlf,nucl1347
gim,benc1235
hop,hopi1249
sia,sian1257
ses,sout2807
nom,noma1263
tty,tatu1247
ulc,ulch1241
kin,kiny1244
ara,araw1276
lrk,lari1255
mmn,mama1275
jiv,shua1257
mui,muin1242
laf,lafo1243
orh,east2652
orw,waat1238
orb,bora1271
owc,west2721
bod,bodo1269
aeg,egyp1253
arg,gulf1241
arq,meso1252
arl,nort3139
ako,cypr1248
ars,sana1295
abh,baha1259
apa,sout3123
arh,hija1235
arv,sout3123
asy,nort3139
abe,nort3139
anl,nort3139
blg,bala1310
ite,itel1242
gwo,tyap1238
tli,tlin1245
naf,nafa1258
uri,urim1252
ynm,yano1262
eka,ekar1243
sdw,sand1273
occ,occi1239
pro,occi1239
gho,ghot1243
luv,luva1239
mbb,mbab1239
dng,ding1239
bej,beja1238
aln,alun1238
bmn,bamu1253
bng,qaqe1238
mli,mali1284
iha,ihaa1241
wn,wikn1245
eno,engg1245
ygn,yagn1238
lew,lewo1242
mch,mach1267
mbg,mbug1240
gjj,guaj1255
foe,foii1241
bpa,bura1292
au,auuu1241
ala,alam1246
dnw,dang1274
amb,ambu1247
lad,lada1244
cai,suri1267
trm,suri1267
mni,moni1261
tbo,tbol1240
sak,saka1289
ydl,east2295
ydb,east2295
ylt,east2295
ydd,yidd1255
nas,naas1242
lud,lund1271
csh,cash1254
tac,taca1256
kuq,kumy1244
gbc,uppe1455
bri,brib1243
kao,kara1487
mus,muss1246
lum,stra1244
sch,stra1244
soo,stra1244
sgs,stra1244
sss,stra1244
sst,stra1244
pmc,cent2138
yao,yaoo1241
oto,iowa1245
crl,caro1242
pul,pulu1242
bim,bima1247
jav,java1254
bab,veng1238
udi,udii1243
umb,umbu1257
kgm,kago1247
ibn,iban1267
kty,khan1273
npu,napu1241
anu,anuf1239
col,chol1281
eve,even1259
bln,bili1260
acg,acha1250
kew,kewa1250
bug,bugi1244
tsa,tsak1249
kmi,kami1256
ito,iton1250
kda,kond1295
mtb,matu1259
mkz,maka1304
mik,karb1241
mey,meny1245
dol,dolg1241
brb,baat1238
arc,arch1244
bid,bidi1241
cmn,coma1245
sus,susu1250
ngm,ngam1268
txj,xico1235
tpa,papa1238
tot,yecu1235
tos,high1243
hzb,hunz1247
nug,nung1290
kth,gwic1235
ndj,djee1236
rap,rapa1244
tok,taro1263
wlo,woli1241
lmp,lamp1243
pae,paez1247
kkt,koko1269
bra,lave1249
kaa,karo1305
ami,amis1246
ked,keda1252
tut,nort2941
glp,dhan1270
zpr,zapa1253
tte,tute1247
dgr,daur1238
mei,mani1292
dat,dato1239
mge,east2333
meb,beta1252
qta,nort2980
lal,xish1235
mwc,mawc1242
msg,misi1242
baw,bawm1236
git,gitx1241
xia,minn1241
nyg,nyan1313
eko,koti1238
inu,nort2943
mma,nucl1706
tps,sout2976
mlg,wand1278
ojm,chip1241
wch,wich1264
bnq,beng1286
akm,marm1234
nsg,nisg1240
knc,kuku1280
ifu,bata1298
kkz,kukn1238
cti,tedi1235
ngo,ngon1269
yus,cent2128
amd,amdo1237
fuz,mind1253
yey,yeyi1239
pun,wadj1254
kko,kura1250
pny,pany1241
son,sons1242
klp,kala1400
nko,chig1238
rny,nyan1307
bfg,None
qca,caja1238
xer,xere1240
uld,wuzl1236
brz,birr1240
daw,daww1239
skr,sika1263
mwa,mart1256
tex,khor1269
twx,khor1269
ndb,sout2808
din,nort2815
jar,jara1263
llm,lele1264
mhu,mbal1255
puq,puqu1242
tke,toke1240
hdi,hdii1240
krd,cent1972
bgi,bagr1243
plp,ngaj1237
wgu,waru1264
mmo,moks1248
yuk,gang1267
ynk,yank1247
kuu,kuuk1238
ago,ango1258
ylb,mart1256
kjo,coas1295
kgl,umbu1258
jel,jeri1242
mka,maho1249
tal,tali1258
kto,kato1244
ksi,puoc1238
ivs,ivat1242
bdm,badi1246
mdm,west2443
tws,sout2961
taq,minn1241
uhi,atam1239
ayn,ainu1251
kmw,kamu1258
cos,sout2986
bgn,bugu1246
lge,nort2627
jva,kara1500
ati,atik1240
qan,chiq1249
kgt,west2618
mrs,nucl1594
fli,west2454
pin,pint1250
lkt,lako1247
jin,jino1236
zar,zarm1239
yug,yugh1239
syg,west2402
lno,ladi1251
gdl,guad1242
grf,gari1256
spi,tibe1272
npi,nige1257
mcr,mori1278
les,lese1243
lse,span1263
mxs,sila1250
gan,apuc1241
bbl,dibo1245
abu,abun1252
bai,cent2004
kop,komi1269
dom,doma1258
sla,slav1253
asl,amer1248
kfc,None
djm,djam1256
htt,mini1256
lje,lauj1238
kkv,lusi1240
mxg,sanm1295
nih,japa1238
arp,buki1249
brd,bard1255
tnb,ango1257
hmu,nupo1240
qco,sout2991
ygr,yaga1260
asm,tamn1235
par,pari1256
brl,lowa1242
jur,jurc1239
vla,vlaa1235
bkl,cent2087
sly,sela1260
did,didi1258
tay,tayo1238
kac,kach1279
ams,stan1318
skl,siku1242
mkh,None
ngi,wang1291
yi,sich1238
kiw,sout2949
she,sher1255
pum,pumi1242
ots,east2556
lng,leng1262
ten,tenn1246
nuk,nuka1242
cat,embe1260
syu,salt1242
gor,goro1270
cck,chic1270
mrc,rong1264
ipi,indi1237
mur,murs1242
fue,east2447
pit,pitj1243
krh,krah1246
bxj,bayu1240
dhl,dhal1245
ggd,guga1239
vka,kari1304
kyt,kayt1238
lnj,leni1238
mrj,ngad1258
nlr,ngar1286
nly,nyam1271
ump,umpi1239
wkw,waka1274
wbt,wanm1242
wru,waru1265
ylr,yala1262
agb,legb1242
wec,wels1247
huc,huaa1248
tia,tima1241
wna,wann1242
ddj,godi1239
ney,neyo1238
jms,jams1239
nrg,nane1238
wwa,waam1244
ncm,ntch1242
xsm,kase1253
mmi,mamb1294
myg,mayo1261
mnz,monz1249
ajg,ajab1235
guw,gunn1250
avk,avik1243
mkq,ngem1255
mdw,mbos1242
bdu,budu1250
vif,vili1238
kwy,sans1272
sku,suku1259
zag,zagh1240
mgq,mang1398
tsk,tama1365
hna,mina1276
sid,sida1246
arj,gulf1241
ryu,cent2126
bkb,bett1235
rji,raji1240
ksn,suoy1242
nmm,mana1288
tbx,seke1240
tdi,tibe1272
tdr,tibe1272
amt,amdo1237
shg,tibe1272
rpa,tibe1272
xns,kana1283
wme,wamb1257
ybi,yamp1242
gyc,jiar1239
rgc,jiar1239
tvt,tuts1235
ral,ralt1242
mhl,misi1242
lic,hlai1239
khn,khun1259
smp,shom1245
agd,dupa1235
bgz,bong1289
ttd,tetu1245
lab,labu1248
vnm,vinm1237
psw,port1285
lmu,lame1260
erk,sout2856
ndr,fiji1243
mxe,mele1250
mpt,mian1256
mkj,maka1316
abv,abui1241
adg,adan1251
bdw,baha1258
dlm,dera1245
brp,wara1302
fqs,fass1245
kwt,nucl1593
bio,naii1241
amm,amap1240
owi,owin1240
urt,urat1244
xbi,komb1272
aoj,mufi1238
kmz,kama1367
inn,yand1253
msq,halk1245
tee,hueh1236
mxx,None
qum,sipa1247
lec,leco1242
eme,emer1243
kyz,kaya1329
kno,kano1245
cpy,chip1262
kkq,kuik1246
pnx,pana1307
kqq,kren1239
tsl,tanz1238
kbi,inpu1234
nub,nubi1253
alg,algo1255
ega,egaa1242
kkl,beng1239
lii,ital1275
kwm,kwaa1269
lgp,port1277
iga,inga1252
npn,naga1394
qbo,boli1262
ics,icel1236
ths,thai1240
kuz,mati1250
bel,belh1239
goj,guja1253
slg,sulu1241
klr,shah1254
ada,adam1238
emm,amii1238
mbr,mbar1260
fsl,finn1310
lsf,fren1243
ssl,kore1273
blj,kaci1244
kdz,coas1294
mtg,mont1268
lsa,arge1236
kym,nort2690
nsk,nask1242
laa,laal1242
usl,urub1243
kbt,kaba1276
pgl,ping1243
srb,sorb1249
tgn,tugu1245
krw,koro1312
ise,isek1239
aus,aust1271
nlu,ngar1287
nph,narp1239
plg,nucl1291
lsq,queb1245
urm,urum1249
imo,imon1245
lsb,braz1236
sem,sumi1235
bok,boko1266
irs,iris1235
bfi,bafi1243
ktb,kitu1246
psl,plai1235
myo,mayo1264
kic,kick1244
bsl,brit1235
kag,kome1238
mts,mati1255
smd,sema1269
gsl,gree1271
let,leti1246
rsl,russ1255
kum,kuma1273
alt,swis1247
jum,juma1249
com,maor1244
mek,saki1248
ipk,paki1242
csl,chin1283
sps,sout2965
tui,turk1288
ugs,ugan1238
nzs,newz1236
inr,west2618
lam,peve1243
ojs,seve1240
nbh,ghul1238
nus,nusu1239
tzi,taiw1241
dar,dara1250
qcu,cusc1236
keo,keoo1238
aka,yaka1272
mol,roma1327
ngw,ngaw1240
wmn,weme1239
chn,chan1310
vas,vasa1239
spo,spok1245
smn,cree1270
svt,swed1236
gug,koka1244
pri,prin1242
buk,buku1249
ani,anii1246
atb,aral1243
ned,dutc1253
hlb,halb1244
hua,yaga1260
nte,norw1255
gny,guny1241
mms,mama1276
iss,isra1236
shd,sher1257
kkr,kiri1256
ksl,keny1241
dge,germ1281
mcf,mich1243
mnj,mart1256
hli,halk1245
bly,nija1241
guf,gupa1247
wgg,wang1290
bgm,bang1363
kgy,kyer1238
knz,kham1282
khd,kham1282
bwc,west2560
mqf,momu1241
csk,jola1262
nbm,ngba1284
cea,swam1239
bnu,bula1255
wom,womo1238
hks,hong1241
isl,inte1259
mkw,maku1246
ktt,kott1239
myy,mayk1239
cco,tutu1242
bah,xiri1243
kua,None
aab,None
jua,None
joh,None
tms,None
keu,None
rcp,None
lgh,None
